backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
swin_tiny_patch4_window7_224,1,0.2096,85.81,70.94,0.6297,0.9891,3
swin_tiny_patch4_window7_224,2,0.1515,90.3,96.26,0.9635,0.9964,3
swin_tiny_patch4_window7_224,3,0.1357,91.39,97.05,0.9712,0.9976,3
swin_tiny_patch4_window7_224,4,0.1273,92.39,97.29,0.9736,0.998,3
swin_tiny_patch4_window7_224,5,0.1218,92.39,97.93,0.9797,0.9985,3
swin_tiny_patch4_window7_224,6,0.1111,93.16,98.01,0.9806,0.9985,3
swin_tiny_patch4_window7_224,7,0.1044,93.91,98.17,0.9821,0.9988,3
swin_tiny_patch4_window7_224,8,0.0976,94.34,98.37,0.984,0.999,3
swin_tiny_patch4_window7_224,9,0.0983,94.34,98.61,0.9863,0.999,3
swin_tiny_patch4_window7_224,10,0.0933,94.91,98.77,0.9879,0.9991,3
swin_tiny_patch4_window7_224,11,0.093,94.77,98.69,0.9872,0.9993,3
swin_tiny_patch4_window7_224,12,0.0878,95.13,98.89,0.9891,0.9993,3
swin_tiny_patch4_window7_224,13,0.0851,95.2,98.96,0.9898,0.9994,3
swin_tiny_patch4_window7_224,14,0.0836,95.62,98.96,0.9898,0.9995,3
swin_tiny_patch4_window7_224,15,0.0845,95.69,99.04,0.9906,0.9996,3
swin_tiny_patch4_window7_224,16,0.0795,95.71,99.16,0.9918,0.9997,3
swin_tiny_patch4_window7_224,17,0.0782,95.86,99.2,0.9922,0.9997,3
swin_tiny_patch4_window7_224,18,0.0756,96.34,99.08,0.9911,0.9996,3
swin_tiny_patch4_window7_224,19,0.074,96.3,99.08,0.9911,0.9994,3
swin_tiny_patch4_window7_224,20,0.0747,96.35,98.96,0.9899,0.9993,3
swin_tiny_patch4_window7_224,21,0.0716,96.79,99.12,0.9914,0.9992,3
swin_tiny_patch4_window7_224,22,0.0679,96.9,99.12,0.9914,0.9993,3
swin_tiny_patch4_window7_224,23,0.0695,96.97,99.0,0.9903,0.9993,3
swin_tiny_patch4_window7_224,24,0.0711,96.64,98.96,0.9899,0.9994,3
swin_tiny_patch4_window7_224,1,0.2154,85.53,71.08,0.69,0.9914,4
swin_tiny_patch4_window7_224,2,0.1558,90.56,97.35,0.9732,0.9963,4
swin_tiny_patch4_window7_224,3,0.1359,91.66,97.23,0.9719,0.9975,4
swin_tiny_patch4_window7_224,4,0.1279,92.17,98.07,0.9805,0.9979,4
swin_tiny_patch4_window7_224,5,0.1188,92.9,98.19,0.9818,0.9983,4
swin_tiny_patch4_window7_224,6,0.113,93.42,98.28,0.9826,0.9989,4
swin_tiny_patch4_window7_224,7,0.1065,93.76,98.56,0.9854,0.9992,4
